input,expected,actual
commotion,komowsyon,komoyon
compatible,kompatibol,Compatible
consecutive,konsekyutib,konsekutibo
conservation,konserbeysyon,konserbisyon
constellation,konsteleysyon,konstelasyon
constitute,konstityut,konstityut
consulting,konsulting,konsalting
continent,kontinent,kontinente
continue,kontinyu,kontinyu
contradiction,kontradiksyon,kontradiksiyon
creation,krieysyon,kreysyon
critic,kritik,kritik
cosmetic,kosmetik,kosmetic
cortisol,kortisol,kortisol
daunting,donting,dawnting
daytime,deytaym,Deytaym
deception,desepsyon,disepsyon
deduction,dedaksyon,Dedaksyon
dementia,demensya,demensya
dentist,dentist,dentist
destiny,destini,destini
detective,detektib,ditekitib
digestive,daydyestib,Disehstib
disgusting,disgasting,disgasting
domestic,domestik,domestik
eating,iting,iiting
edition,edisyon,edisyon
editing,editing,editing
elastic,elastik,elastik
elective,elektib,Elektibo
emotion,emosyon,imosyon
entity,entiti,entiti
eruption,erapsyon,erupsiyon
estimate,estimeyt,estimet
exotic,eksotik,egzotik
exposition,eksposisyon,eksposisyon
extinct,ekstinkt,ekstinkt
faction,faksyon,Faksyon
fanatic,fanatik,fanatik
fasting,fasting,fasting
fatigue,fatig,Fatig
fertile,fertayl,fertil
festive,festib,festibo
fiction,fiksyon,fiksyon
fraction,fraksyon,fraksyon
futile,fyutayl,futayl
galactic,galaktik,galagtik
genetic,dyenetik,genetik
getting,geting,geting
grating,greyting,greyting
gymnastics,dyimnastiks,himnastiks
halting,holting,halting
hating,heyting,heyting
haunting,honting,hawnting
hitting,hiting,hiting
hostile,hostayl,hostil
hurting,herting,hurting → herting
idealistic,aydialistik,Aydialistik
identical,aydentikal,identical
identify,aydentifay,aydentipay
ignition,ignisyon,ignisyon
illumination,ilumineysyon,ilyumineyson
imagination,imadyineysyon,imahinasyon
inertia,inersya,inersya
instinct,instinkt,instinkt
institute,institut,institiuto
intuition,intuwisyon,intuwisyon
justify,dyastifay,Justipay
kinetic,kinetik,kinetik
knitting,niting,niting
lasting,lasting,lasting
lattice,latis,latis
legalization,ligaliseysyon,legalisasyon
lifetime,layftaym,layftaym
locating,lokeyting,lokeyting
logistic,lodyistik,Lohistik
looting,luting,luting
lotion,losyon,loysyon
lunatic,lunatik,lunatik
magnetic,magnetik,magnetik
majestic,madyestik,maheytik
malnutrition,malnutrisyon,Malnutrisyon
mantis,mantis,mantis
meeting,miting,mitíng
melting,melting,melting
mention,mensyon,mensan
migrating,maygreyting,migreyteng
militia,milisya,milisya
mitigate,mitigeyt,mitiget
moderation,modereysyon,moderesyon
motion,mosyon,moyon
monastic,monastik,monastik
mounting,mawnting,mounting
motive,motib,motif
multiple,multipol,multiple mowltipol
mutiny,myutini,mutiny
mystic,mistik,mistik
narration,nareysyon,naresyon
nation,neysyon,nasyon
native,neytib,neytibeeng
negative,negatib,negatibo
nesting,nesting,nesting
neurotic,nurotik,Neywrotik
objection,obdyeksyon,obheksyon
operation,opereysyon,operasyon
option,opsyon,opsyon
optics,optiks,optiks
orbiting,orbiting,orbiting
outing,awting,awting
painting,peynting,peynting
partial,parsyal,pars-yal
parting,parting,parting
patient,peysyent,Peysen
patio,patiyo,patyo
pitiful,pitiful,pitipul
plastic,plastik,plastik
platinum,platinum,platinyum
poetic,powetik,Powetik
pneumatic,numatik,neumátik
pointing,poynting,Poyinting
political,politikal,politikal
portion,porsyon,porsyon
position,posisyon,posisyon
practical,praktikal,praktikal
pragmatic,pragmatik,pragmatik
prerogative,prerogatib,prerogratib
prediction,prediksyon,predikson
prestige,prestij,prestihihe
primitive,primitib,primitibo
pristine,pristin,pristín
problematic,problematik,problemátik
projectile,prodyektayl,proyektil
proportion,proporsyon,proporsyon
punitive,pyunitib,punitibo
quantify,kwantifay,kwantipay
quantity,kwantiti,kantidad
question,kwestsyon,kweston
quoting,kwoting,kuwoting
radiation,reydieysyon,radyesyon
ranting,ranting,ranting
rating,reyting,reyting
ratio,reysyo,rasyow
ration,rasyon,rasyon
rational,rasyonal,rasyonal
reactive,riaktib,riyaktib
realistic,rialistik,realistiko
reception,resepsyon,resepsin
rectify,rektifay,rektipay
reflection,refleksyon,ripleksyon
rejecting,redyekting,Riheking
relating,releyting,rilating
renting,renting,renting
reptile,reptayl,reptil
resorting,resorting,risorting
respecting,respekting,respetong
retire,retayer,retayir
retrospective,retrospektib,retrospektibo
rotating,roteyting,roteyteng
routine,rutin,rutina
sanctity,sanktiti,sanktidat
satire,satayer,satir
satisfy,satisfay,satispahy
section,seksyon,sekyon
seating,siting,siting
selection,seleksyon,seleksyon
segmentation,segmenteysyon,segmentesyon
sensitive,sensitib,sensitibo
sentinel,sentinel,Sentinel
septic,septik,septik
settings,setings,setings
shifting,sifting,Sifting
solstice,solstis,soltisye
sorting,sorting,sorting
static,statik,estatik
station,steysyon,estesyon
stick,stik,stik
sticker,stiker,stiker
still,stil,stil
stilt,stilt,stilit
stimulant,stimyulant,estimulant
sting,sting,sting
stochastic,stokastik,stokaastik
subtitle,subtaytel,sabtitiwal
suggestion,sugdyestsyon,sahetion
synthetic,sintetik,sintetik
tactic,taktik,takik
tasing,teysting,tasynx
taunting,tonting,tawnting
testify,testifay,testipay
testing,testing,testing
tiara,tiyara,tiara
tibia,tibia,tibia
tidy,taydi,tidi
tie,tay,tay
tier,tiyer,tyer
tiles,tayls,tayls
tinder,tinder,tinder
tiny,tayni,tayni
tip,tip,tip
tipsy,tipsi,tipsi
titan,taytan,titan
tissue,tisyu,tisyu
title,taytel,titol
traction,traksyon,traksiyon
tradition,tradisyon,tradisyon
traumatic,tromatik,traumatik
treating,triting,triting
ultimate,altimeyt,ultimat
until,antil,antil
updating,apdeyting,apdeyt
utilised,yutilaysd,yutilays
vacation,beykeysyon,bakasyon
vertical,bertikal,bertical
vertigo,bertigo,Bertigo
vibration,baybreysyon,bibreyson
victim,biktim,biktim
vocation,bokeysyon,bokasyon
voting,boting,boting
waiting,weyting,weyteng
wanting,wanting,wanting
wasting,weysting,weysting
writing,rayting,rayting
yeti,yeti,yeti
anywhere,enyweyr,enywer
awhile,awayl,awhay
overwhelm,oberwelm,owerwelm
somewhat,samwat,samwet
whack,wak,wak
whale,weyl,weyl
wheat,wit,wet
wheel,wil,wil
when,wen,wen
where,weyr,wer
which,wits,wis
whim,wim,wim
whine,wayn,wayn
whip,wip,wip
whirl,werl,werl
whisk,wisk,wiski
whisper,wisper,wispir
whistle,wisel,wistol
white,wayt,wayt
who,hu,hu
whole,hol,hol
why,way,Bakit
worthwhile,wertwayl,werswayl
abridged,abridyd,abridyid
budge,baj,baj
budget,badyet,badyet
cartridge,kartrij,kartridye
dodge,doj,dac
dredge,drej,dres
fudge,faj,faj
grudge,graj,grudhe
hedge,hej,hed
judged,dyadyd,jadsd
ledge,lej,lej
lodged,lodyd,lohd
nudge,naj,naj
porridge,porij,poris
ridge,rij,ris
sledge,slej,sledyis
sludge,slaj,slaj
antique,antik,antik
baroque,barok,barok
clique,klik,klik
conquer,konker,konker
conquest,konkwest,konkista
critique,kritik,kritik
eloquent,elokwent,Eloquent
frequency,frikwensi,Frikwensi
oblique,oblik,obliko
plaque,plak,plak
queen,kwin,kwin
quest,kwest,kwest
queue,kyu,kyu
request,rekwest,Rekwes
sequel,sikwel,sikwel
technique,teknik,teksnik
torque,tork,torke
unique,yunik,yuniq
botch,bots,bots
butch,buts,butts
clutch,klats,klats
crutch,krats,krats
dutch,dats,dats
itch,its,itsy
match,mats,matts
retch,rets,rech
scotch,skots,skotsy
scratch,skrats,skratsy
snatch,snats,snatsy
witch,wits,wits
blight,blayt,blayt
flight,flayt,flayt
foresight,forsayt,Foresayt
headlights,hedlayts,hedlayts
highlight,haylayt,haylayt
hindsight,hayndsayt,hindseyt
insight,insayt,insayt
night,nayt,nayt
nightmare,naytmeyr,Naytmeyr
sight,sayt,sayt
slight,slayt,slayt
straight,streyt,Strey
tight,tayt,tayt
tonight,tunayt,tunit
twilight,twaylayt,twaypalayt
upright,aprayt,aprayt
weight,weyt,weyt
wright,rayt,rayt
adore,ador,adore
aforementioned,aformensyond,aforesyoned
anorexia,anoreksya,anoreksya
anymore,enymor,enimore
ashore,asor,asyor
authored,otord,owtoret
before,bifor,Bifore
bookstore,bukstor,bukstore
bore,bor,bor
bored,bord,bord
boredom,bordom,bowedom
chore,tsor,Syur
chores,tsors,syores
core,kor,kor
deforestation,diforesteysyon,deforestasyon
drugstore,dragstor,dragstoor
encore,onkor,Enkor
explore,eksplor,eksplor
favored,feybord,favorid
flavored,fleybord,fleyborad
fore,for,for
forearm,forarm,forerarm
forecast,forkast,forekast
foreground,forgrawnd,forgraund
forehead,forhed,forhed
foreigner,forener,forenyer
forensic,forensik,forensik
foresee,forsi,forusiy
forest,forest,forist
forever,foreber,forebir
furthermore,furdermor,purdemor
galore,galor,galor
gore,gor,gor
hardcore,hardkor,hartkor
honored,onord,onord
ignore,ignor,ignorar
laborer,leyborer,laborer
lore,lor,lor
more,mor,Mor
offshore,ofsor,ofsor
ore,or,or
poorer,purer,porer
pore,por,por
restore,restor,restore
rumored,rumord,rumord
scoreboard,skorbord,skoarbo(r)d
shore,sor,syur
shoreline,sorlayn,sorlain
snore,snor,snor
sophomore,sofomor,softmore
sore,sor,sor
sorely,sorli,soreli
sponsored,sponsord,sponsord
spore,spor,spor
store,stor,stor
swore,swor,suor
theorem,tiorem,teorema
tailored,teylord,Teylorod
therefore,deyrfor,deryfor
tore,tor,tor
wore,wor,wore
eighteen,eytin,eytin
eighty,eyti,eyti
freight,freyt,freyt
heavyweight,hebiweyt,heybweyt
heightened,haytend,haytenad
lightweight,laytweyt,laytweyt
neighbor,neybor,neybor
overweight,oberweyt,owerbweyt
weighed,weyd,weyd
although,oldo,altow
bough,baw,baw
bought,bot,bowt
brought,brot,brawt
dough,dow,dow
fought,fot,fowt
sought,sot,sowt
thorough,toro,torow
though,do,tow
thought,tot,tawt
through,tru,tru
tough,tof,taf
trough,trof,trof
